frame_num,x,y
0,1472,809
1,1464,814
2,1456,818
3,1450,826
4,1446,834
5,1436,837
6,1430,843
7,1419,847
8,1415,852
9,1405,856
10,1399,859
11,1393,865
12,1384,871
13,1379,876
14,1370,879
15,1366,881
16,1355,886
17,1347,890
18,1339,894
19,1332,895
20,1325,899
21,1313,902
22,1306,901
23,1298,905
24,1288,905
25,1281,905
26,1274,906
27,1261,909
28,1257,908
29,1245,910
30,1237,910
31,1233,909
32,1224,909
33,1208,904
34,1204,903
35,1195,904
36,1186,901
37,1177,899
38,1168,899
39,1157,894
40,1149,892
41,1141,889
42,1129,884
43,1120,881
44,1116,877
45,1106,872
46,1094,866
47,1084,862
48,1081,857
49,1070,847
50,1062,839
51,1055,835
52,1046,827
53,1035,819
54,1026,812
55,1020,802
56,1010,795
57,1000,781
58,991,774
59,985,764
60,973,753
61,965,741
62,954,728
63,948,718
64,937,707
65,930,692
66,920,681
67,909,667
68,900,652
69,891,638
70,882,622
71,872,607
72,863,591
73,853,575
74,845,558
75,835,540
76,828,521
77,817,501
78,809,487
79,798,465
80,791,449
81,783,432
82,787,438
83,794,452
84,798,470
85,806,485
